Date,Price,Open,High,Low,Vol.,Change %
"May 10, 2004",295.5,304,304,295,3.79K,-3.75%
"May 07, 2004",307,306.25,309,301,3.42K,0.41%
"May 06, 2004",305.75,314,314,305.25,5.21K,-2.70%
"May 05, 2004",314.25,318,318,311.5,4.00K,-1.10%
"May 04, 2004",317.75,317.75,319.75,315.5,5.15K,-0.08%
"May 03, 2004",318,315.75,319,314,10.22K,0.47%
"Apr 30, 2004",316.5,313.5,321.75,313.5,15.18K,0.80%
"Apr 29, 2004",314,308.25,314.5,307,19.33K,1.87%
"Apr 28, 2004",308.25,309,310.5,304.75,19.14K,-0.32%
"Apr 27, 2004",309.25,301,313,301,22.83K,2.66%
"Apr 26, 2004",301.25,303,303,297.5,20.43K,-0.74%
"Apr 23, 2004",303.5,304,307,301.25,24.75K,-0.16%
"Apr 22, 2004",304,304,307.5,303.25,22.76K,0.00%
"Apr 21, 2004",304,309.5,309.75,299.75,29.46K,-1.70%
"Apr 20, 2004",309.25,311.25,311.5,307.75,21.18K,-0.64%
"Apr 19, 2004",311.25,314.75,317,310.5,17.53K,-1.03%
"Apr 16, 2004",314.5,307.5,315.5,307,29.67K,2.28%
"Apr 15, 2004",307.5,317,320.5,296.5,46.54K,-2.84%
"Apr 14, 2004",316.5,310,318,309.5,49.16K,1.52%
"Apr 13, 2004",311.75,322.25,322.25,311.5,61.99K,-3.26%
"Apr 12, 2004",322.25,330,331.25,321.5,49.24K,-2.50%
"Apr 08, 2004",330.5,330.5,335.25,329,46.18K,0.15%
"Apr 07, 2004",330,327,332.5,327,39.96K,0.99%
"Apr 06, 2004",326.75,329,329.5,325,43.65K,-0.83%
"Apr 05, 2004",329.5,330.75,335.25,326.5,62.92K,-0.30%
"Apr 02, 2004",330.5,325.25,331.25,325.25,52.82K,1.46%
"Apr 01, 2004",325.75,319.75,331.25,319.25,61.39K,1.80%
"Mar 31, 2004",320,311.5,321.75,311.25,73.87K,2.48%
"Mar 30, 2004",312.25,305,312.75,304.75,45.23K,2.38%
"Mar 29, 2004",305,305,306.5,301.75,30.20K,-0.16%
"Mar 26, 2004",305.5,307,308.75,303.25,36.31K,-0.41%
"Mar 25, 2004",306.75,309.5,311.75,305.5,46.61K,-0.89%
"Mar 24, 2004",309.5,315.25,318.5,307.5,54.51K,-1.98%
"Mar 23, 2004",315.75,318,318,315,33.27K,-0.86%
"Mar 22, 2004",318.5,313.25,319,313.25,50.57K,2.08%
"Mar 19, 2004",312,311.75,314.75,309.75,38.07K,0.00%
"Mar 18, 2004",312,308,313.5,307.5,47.32K,1.22%
"Mar 17, 2004",308.25,305.25,309.25,303.25,42.31K,0.98%
"Mar 16, 2004",305.25,307,308.75,304.25,44.51K,-0.73%
"Mar 15, 2004",307.5,300.25,308,300.25,41.62K,4.06%
"Mar 12, 2004",295.5,294.25,297,292.5,2.37K,0.85%
"Mar 11, 2004",293,293.5,295.5,291.75,3.07K,0.43%
"Mar 10, 2004",291.75,295,296.5,291,1.89K,-1.10%
